,...1,...2,validName,q5,q5_low,q5_high,q50,q50_low,q50_high,q95,q95_low,q95_high,year,id_cells,ndstcol,dstdoy,nObs,q5_CI,q50_CI,q95_CI,gcode,annualTemp,tempSeas,annualPrec,precSeas,overwinteringStage,voltinism,diurnality,WikiName,OrigSyn,decade,onset,offset,origin,onsetdate,Year,offsetdate,UnusualWarmDaysOnset,UnusualColdDaysOnset,UnusualWarmOnOff,UnusualColdOnOff,UnusualWarmSum,UnusualColdSum,duration,Seas,GDDOnsetSum,GDDOffsetSum,GDDOnOffSum,annualTemp_unscaled,tempSeas_unscaled,annualPrec_unscaled,precSeas_unscaled,UnusualWarmDaysOnset_unscaled,UnusualColdDaysOnset_unscaled,UnusualWarmOnOff_unscaled,UnusualColdOnOff_unscaled,UnusualWarmSum_unscaled,UnusualColdSum_unscaled
96,109,110,Catocala andromedae,39.5,5,120,120,5,5,166,120,166,1.52942274,60,-0.639007591,-0.789134314,7,115,0,46,Catocala andromedae.2006.60,4.801087026,-4.855826308,0.484020282,2.563387528,E,U,N,Catocala andromedae,"Hypogramma andromedae Guen<e9>e, 1852",2000,39,166,12/31/2005,2/8/2006,2006,6/15/2006,-0.654742524,-0.615307914,0.02640554,1.443317626,-0.46222606,0.486475476,127,Summer,629.1686596,2088.283163,2717.451823,259.5337723,3938.569508,1084.987366,0.701994965,0,0,1,3,1,3
97,110,111,Catocala antinympha,187,NA,NA,195.5,188,201,202,196.55,202,-0.031524684,166,-0.639007591,-0.319891716,10,249,13,5.45,Catocala antinympha.1981.166,0.035707215,-0.087202397,-0.12108528,0.768385787,E,U,N,Catocala antinympha,"Ephesia antinympha H<fc>bner, 1823",1980,187,202,12/31/1980,7/6/1981,1981,7/21/1981,-0.654742524,-0.615307914,0.02640554,-0.641138474,-0.46222606,-0.829729516,15,Summer,807.9085952,302.6581084,1110.566704,142.4220558,9323.621484,963.4185448,0.534909679,0,0,1,0,1,0
98,111,112,Catocala antinympha,206.8,196,220,232,196,232,249.55,241.35,250,-0.468589962,181,-0.639007591,-0.437202366,10,24,36,8.65,Catocala antinympha.1974.181,-1.922498042,-0.047338572,-1.060658047,-0.6786716,E,U,N,Catocala antinympha,"Ephesia antinympha H<fc>bner, 1823",1970,206,249,12/31/1973,7/25/1974,1974,9/6/1974,-0.654742524,-0.615307914,-0.580261735,1.443317626,-0.875040199,0.486475476,43,Summer,758.2582664,579.1717111,1337.429978,94.29813116,9368.638405,774.6535411,0.400212318,0,0,0,3,0,3
99,112,113,Catocala antinympha,205.4,204,211,220,204,220,264,216.8,275,-0.655903653,181,-0.639007591,-0.789134314,5,7,16,58.2,Catocala antinympha.1971.181,-1.687187412,0.621579792,-1.285072154,-0.870157795,E,U,N,Catocala antinympha,"Ephesia antinympha H<fc>bner, 1823",1970,205,264,12/31/1970,7/24/1971,1971,9/21/1971,0.47099813,0.020049359,0.02640554,0.748498926,0.363402218,0.486475476,59,Summer,795.9935713,778.1905846,1574.184156,100.0810137,10124.02617,729.5675922,0.382388087,2,1,1,2,3,3
100,113,114,Catocala antinympha,193,NA,NA,215,193,221,233.5,223.5,238,-0.905655241,162,-0.406710132,-0.085270418,11,249,28,14.5,Catocala antinympha.1967.162,-0.726575778,0.390453351,-0.758065835,0.536674326,E,U,N,Catocala antinympha,"Ephesia antinympha H<fc>bner, 1823",1960,193,233,12/31/1966,7/12/1967,1967,8/21/1967,-0.654742524,-0.615307914,-0.580261735,2.138136325,-0.875040199,0.925210473,40,Summer,802.6848802,619.0755036,1421.760384,123.6885501,9863.022594,835.4458735,0.513341134,0,0,0,4,0,4
101,114,115,Catocala cara,212.75,212,217.75,233,222.5,233,237.4,233.85,264,-0.71834155,162,-0.406710132,-0.319891716,24,5.75,10.5,30.15,Catocala cara.1970.162,-0.58565211,1.256123338,-0.778592497,0.453510856,E,U,N,NA,NA,1970,212,237,12/31/1969,7/31/1970,1970,8/25/1970,-0.654742524,0.020049359,-0.580261735,-0.641138474,-0.875040199,-0.390994519,25,Fall,966.3973419,424.1301696,1390.527511,127.1518234,10840.59557,831.3219614,0.505599976,0,1,0,0,0,1
102,115,116,Catocala cara,224,215,224.1,234,225,239,252.1,241,257,-0.343714168,166,-0.406710132,0.26666153,23,9.1,14,16,Catocala cara.1976.166,0.003739859,-0.374574202,0.135545694,0.337050717,E,U,N,NA,NA,1970,224,252,12/31/1975,8/11/1976,1976,9/8/1976,-0.654742524,0.655406632,0.02640554,0.053680226,-0.46222606,0.486475476,28,Fall,987.9071929,430.9438566,1418.85105,141.6364412,8999.101846,1014.977028,0.494759443,0,2,1,1,1,3
103,116,117,Catocala cara,213.4,208,235,244,208,244,261.6,236.8,266,-0.843217344,162,-0.406710132,-0.789134314,5,27,36,29.2,Catocala cara.1968.162,-0.457245672,0.760163928,-0.762299188,-0.216438339,E,U,N,NA,NA,1960,213,261,12/31/1967,7/31/1968,1968,9/17/1968,-0.654742524,0.655406632,2.453074639,0.748498926,1.189030497,0.925210473,48,Fall,933.71146,744.9285328,1678.639993,130.3074792,10280.52473,834.5953712,0.44323867,0,2,5,2,5,4
104,117,118,Catocala cara,218.2,216,220,224,220,224,243.75,224,263,-0.406152065,162,-0.639007591,-0.554513015,12,4,4,39,Catocala cara.1975.162,-0.439427457,0.52646904,-0.108670857,0.996630893,E,U,N,NA,NA,1970,218,243,12/31/1974,8/6/1975,1975,8/31/1975,-0.654742524,0.655406632,-0.580261735,-0.641138474,-0.875040199,0.047740478,25,Fall,1006.451687,417.7008895,1424.152576,130.7453712,10016.62069,965.9126662,0.556155563,0,2,0,0,0,2
105,118,119,Catocala cara,222,221,226,231,221,234,282.8,231,295,-0.218838374,162,-0.639007591,-0.671823664,5,5,13,64,Catocala cara.1978.162,-0.823217396,1.798051227,-1.157518063,-0.080206389,E,U,N,NA,NA,1970,222,282,12/31/1977,8/10/1978,1978,10/9/1978,-0.654742524,1.926121178,0.633072815,-0.641138474,-0.049411921,0.925210473,60,Fall,943.3415717,836.9448515,1780.286423,121.3135315,11452.57712,755.1938655,0.455919635,0,4,2,0,2,4
106,119,120,Catocala cara,208,NA,NA,217,208,232,248.45,236,249,-0.531027859,162,-0.639007591,-0.437202366,12,249,24,13,Catocala cara.1973.162,-0.223190061,0.426776778,-0.899329736,-0.860482829,E,U,N,NA,NA,1970,208,248,12/31/1972,7/27/1973,1973,9/5/1973,-0.654742524,-0.615307914,0.02640554,-0.641138474,-0.46222606,-0.829729516,40,Fall,969.8087661,708.3871415,1678.195908,136.059519,9904.041459,807.0652288,0.383288668,0,0,1,0,1,0
107,120,121,Catocala coccinata,202.25,202,203,208,202.5,224,231.5,209.5,234,-0.531027859,162,-0.406710132,-0.554513015,6,1,21.5,24.5,Catocala coccinata.1973.162,-0.223190061,0.426776778,-0.899329736,-0.860482829,E,U,N,Catocala coccinata,"Catocala chiquita Bartsch, 1916",1970,202,231,12/31/1972,7/21/1973,1973,8/19/1973,-0.654742524,-0.615307914,-0.580261735,-0.641138474,-0.875040199,-0.829729516,29,Fall,923.2056537,507.235421,1430.441075,136.059519,9904.041459,807.0652288,0.383288668,0,0,0,0,0,0
108,121,122,Catocala coccinata,190,NA,NA,196,190,196,209.85,198.35,217,-1.280282622,166,-0.639007591,-0.554513015,14,249,6,18.65,Catocala coccinata.1961.166,-0.027394477,0.148153041,0.191986782,-1.747700861,E,U,N,Catocala coccinata,"Catocala chiquita Bartsch, 1916",1960,190,209,12/31/1960,7/9/1961,1961,7/28/1961,-0.091872197,0.020049359,-0.580261735,-0.641138474,-0.46222606,-0.390994519,19,Fall,769.6467432,348.5582118,1118.204955,140.8712985,9589.40073,1026.316333,0.300703189,1,1,0,0,1,1
109,122,123,Catocala coccinata,196.4,196,197.2,206,197,212,212,199,212,0.343102698,162,-0.174412673,-0.671823664,9,1.2,15,13,Catocala coccinata.1987.162,0.079057371,0.417543755,-1.055186331,1.297360072,E,U,N,Catocala coccinata,"Catocala chiquita Bartsch, 1916",1980,196,212,12/31/1986,7/15/1987,1987,7/31/1987,1.596738783,-0.615307914,-0.580261735,0.053680226,0.776216358,-0.390994519,16,Fall,995.2403172,312.8796653,1308.119983,143.4874087,9893.614906,775.752837,0.584148528,4,0,0,1,4,1
110,123,124,Catocala coccinata,189.2,189,190,190,189,190,195.2,190,196,-0.71834155,148,-0.639007591,-0.789134314,5,1,1,6,Catocala coccinata.1970.148,0.640478766,-0.202453694,-0.247890202,-0.858530037,E,U,N,Catocala coccinata,"Catocala chiquita Bartsch, 1916",1970,189,195,12/31/1969,7/8/1970,1970,7/14/1970,-0.654742524,-0.615307914,-0.580261735,-0.641138474,-0.875040199,-0.829729516,6,Fall,948.8207993,127.8820666,1076.702866,157.2846349,9193.47194,937.9427834,0.383470441,0,0,0,0,0,0
111,124,125,Catocala concumbens,207.2,204,220,227,204,247,259,225.6,262,-1.030531035,162,-0.406710132,-0.671823664,5,16,43,36.4,Catocala concumbens.1965.162,-0.571765091,0.73491263,-0.56540561,-0.146221667,E,U,N,Catocala concumbens,"Catocala diana Edwards, 1880",1960,207,259,12/31/1964,7/26/1965,1965,9/16/1965,-0.654742524,-0.615307914,-0.580261735,2.832955025,-0.875040199,1.36394547,52,Fall,858.2654126,745.3735119,1603.638925,127.4931042,10252.00926,874.1523041,0.449774693,0,0,0,5,0,5
112,125,126,Catocala concumbens,171,160,215,225,160,230,244.4,223,248,-0.09396258,185,-0.406710132,-0.671823664,5,55,70,25,Catocala concumbens.1980.185,-1.001689721,0.869638238,-0.94328377,0.44402905,E,U,N,Catocala concumbens,"Catocala diana Edwards, 1880",1980,171,244,12/31/1979,6/19/1980,1980,8/31/1980,-0.654742524,1.290763905,-0.580261735,-0.641138474,-0.875040199,0.486475476,73,Fall,474.4545331,1117.440662,1591.895195,116.9274802,10404.15051,798.2346373,0.504717375,0,3,0,0,0,3
113,126,127,Catocala concumbens,217.2,217,218.2,223,217,231,236.6,222,238,-0.655903653,185,-0.639007591,-0.671823664,5,1.2,14,16,Catocala concumbens.1971.185,-0.942821756,1.101975165,-0.120793822,-1.160366726,E,U,N,Catocala concumbens,"Catocala diana Edwards, 1880",1970,217,236,12/31/1970,8/5/1971,1971,8/24/1971,-0.091872197,0.020049359,-0.580261735,-0.641138474,-0.46222606,-0.390994519,19,Fall,877.5188261,293.7627846,1171.281611,118.3741914,10666.52105,963.4771002,0.355374385,1,1,0,0,1,1
114,127,128,Catocala concumbens,203,200,212,223,200,227,235.25,223.5,238,0.09335111,178,-0.639007591,-0.554513015,6,12,27,14.5,Catocala concumbens.1983.178,-1.226575086,3.765418429,-0.9795679,1.581862586,E,U,N,Catocala concumbens,"Catocala diana Edwards, 1880",1980,203,235,12/31/1982,7/22/1983,1983,8/23/1983,0.47099813,-0.615307914,0.02640554,-0.641138474,0.363402218,-0.829729516,32,Fall,903.663383,613.9379082,1517.601291,111.400804,13674.26095,790.9449688,0.610631056,2,0,1,0,3,0
115,128,129,Catocala concumbens,211.7,209,218,231,209,235,246.1,233.8,250,-0.905655241,162,-0.174412673,-0.437202366,7,9,26,16.2,Catocala concumbens.1967.162,-0.726575778,0.390453351,-0.758065835,0.536674326,E,U,N,Catocala concumbens,"Catocala diana Edwards, 1880",1960,211,246,12/31/1966,7/30/1967,1967,9/3/1967,-0.654742524,1.290763905,-0.580261735,0.748498926,-0.875040199,1.36394547,35,Fall,935.9773711,496.4692634,1432.446635,123.6885501,9863.022594,835.4458735,0.513341134,0,3,0,2,0,5
116,129,130,Catocala concumbens,207.1,205,211,218,211,225,227,218.9,227,-0.780779447,165,-0.639007591,-0.437202366,8,6,14,8.1,Catocala concumbens.1969.165,-0.365762735,0.643048204,-0.288131757,0.878251749,E,U,N,Catocala concumbens,"Catocala diana Edwards, 1880",1960,207,227,12/31/1968,7/26/1969,1969,8/15/1969,-0.654742524,-0.615307914,-0.580261735,-0.641138474,-0.875040199,-0.829729516,20,Fall,866.5549063,333.3750706,1199.929977,132.5557205,10148.26975,929.858048,0.545136402,0,0,0,0,0,0
117,130,131,Catocala concumbens,199,NA,NA,203,199,219,235.9,214.2,241,0.343102698,162,-0.406710132,-0.671823664,7,249,20,26.8,Catocala concumbens.1987.162,0.079057371,0.417543755,-1.055186331,1.297360072,E,U,N,Catocala concumbens,"Catocala diana Edwards, 1880",1980,199,235,12/31/1986,7/18/1987,1987,8/23/1987,1.596738783,0.020049359,0.02640554,-0.641138474,1.189030497,-0.390994519,36,Fall,999.4251714,689.8059085,1689.23108,143.4874087,9893.614906,775.752837,0.584148528,4,1,1,0,5,1
118,131,132,Catocala crataegi,182.9,182,185.15,192.5,186.5,209,213.65,205.1,215,-0.593465756,162,-0.639007591,-0.085270418,10,3.15,22.5,9.9,Catocala crataegi.1972.162,-0.985187042,0.791456363,-0.549201933,-0.247137247,E,U,N,NA,NA,1970,182,213,12/31/1971,6/30/1972,1972,7/31/1972,-0.654742524,3.196835724,-0.580261735,2.138136325,-0.875040199,3.557620457,31,Summer,697.5014788,517.4604781,1214.961957,117.3330422,10315.86226,877.4077063,0.440381104,0,6,0,4,0,10
119,132,133,Catocala crataegi,183.2,182,184,192,184,198,217.8,202.8,222,0.655292183,162,-0.639007591,-0.085270418,13,2,14,19.2,Catocala crataegi.1992.162,-0.705610819,-0.457166064,-0.547518312,0.558569549,E,U,N,NA,NA,1990,183,217,12/31/1991,7/1/1992,1992,8/4/1992,-0.654742524,2.561478451,-0.580261735,0.748498926,-0.875040199,2.241415465,34,Summer,666.4961156,517.2221065,1183.718222,124.203775,8905.833541,877.7459544,0.515379221,0,5,0,2,0,7
120,133,134,Catocala crataegi,186.5,185,190,205,185,207,213.8,206.4,215,0.90504377,162,-0.639007591,-0.554513015,7,5,22,8.6,Catocala crataegi.1996.162,-0.833358741,0.791797593,-0.975660046,0.545949995,E,U,N,NA,NA,1990,186,213,12/31/1995,7/4/1996,1996,7/31/1996,-0.091872197,-0.615307914,-0.580261735,0.053680226,-0.46222606,-0.390994519,27,Summer,745.7009248,425.111506,1170.812431,121.0643026,10316.2476,791.7300768,0.514204547,1,0,0,1,1,1
121,134,135,Catocala crataegi,119,118,120,120,118,118,158.5,127,186,0.780167977,86,-0.639007591,-0.554513015,11,2,0,59,Catocala crataegi.1994.86,2.931260997,-1.69316471,2.561006709,-0.669053422,E,U,N,NA,NA,1990,119,158,12/31/1993,4/29/1994,1994,6/7/1994,-0.091872197,-0.615307914,-0.580261735,-0.641138474,-0.46222606,-0.829729516,39,Summer,610.0283417,650.6835929,1260.711935,213.5818137,7510.060447,1502.264627,0.401107613,1,0,0,0,1,0
122,135,136,Catocala crataegi,181,NA,NA,190,188,197,202.9,197.3,212,0.343102698,162,-0.406710132,0.032040232,15,249,9,14.7,Catocala crataegi.1987.162,0.079057371,0.417543755,-1.055186331,1.297360072,E,U,N,NA,NA,1980,181,202,12/31/1986,6/30/1987,1987,7/21/1987,0.47099813,-0.615307914,0.633072815,0.053680226,0.776216358,-0.390994519,21,Summer,855.060354,389.5458375,1244.606192,143.4874087,9893.614906,775.752837,0.584148528,2,0,2,1,4,1
123,136,137,Catocala crataegi,182.2,181,183,191,181,191,211.6,198.8,220,-0.218838374,162,-0.639007591,-0.319891716,13,2,10,21.2,Catocala crataegi.1978.162,-0.823217396,1.798051227,-1.157518063,-0.080206389,E,U,N,NA,NA,1970,182,211,12/31/1977,7/1/1978,1978,7/30/1978,-0.654742524,0.655406632,-0.580261735,0.748498926,-0.875040199,0.925210473,29,Summer,734.5521838,488.378122,1222.930306,121.3135315,11452.57712,755.1938655,0.455919635,0,2,0,2,0,4
124,137,138,Catocala crataegi,177,NA,NA,190,187,190,191.2,190,196,0.405540595,162,-0.639007591,-0.671823664,17,249,3,6,Catocala crataegi.1988.162,-0.193007419,1.676653568,-1.034621482,1.137270169,E,U,N,NA,NA,1980,177,191,12/31/1987,6/25/1988,1988,7/9/1988,-0.091872197,-0.615307914,0.02640554,-0.641138474,-0.049411921,-0.829729516,14,Summer,748.3020742,249.8557982,998.1578724,136.8012733,11315.48669,779.8844209,0.569246778,1,0,1,0,2,0
125,138,139,Catocala crataegi,188,NA,NA,195,188,201,210.45,198.6,215,-0.281276271,185,-0.639007591,-0.437202366,8,249,13,16.4,Catocala crataegi.1977.185,-0.895005153,0.7330557,0.978235349,-1.135554125,E,U,N,NA,NA,1970,188,210,12/31/1976,7/7/1977,1977,7/29/1977,2.15960911,-0.615307914,0.02640554,1.443317626,1.601844636,0.486475476,22,Summer,680.642246,351.1238466,1031.766093,119.5493096,10249.91229,1184.277716,0.357684032,5,0,1,3,6,3
126,139,140,Catocala grynea,177,175,183,188,175,221,224.75,190.5,226,-1.53003421,166,-0.639007591,-0.671823664,6,8,46,35.5,Catocala grynea.1957.166,0.383745154,-0.372294652,-0.484145106,0.71478586,E,U,N,Catocala grynea,Ephesia grynea,1950,177,224,12/31/1956,6/26/1957,1957,8/12/1957,1.033868457,-0.615307914,-0.580261735,-0.641138474,0.363402218,-0.829729516,47,Fall,754.2555755,811.1515226,1565.407098,150.9752713,9001.676067,890.4779576,0.529920403,3,0,0,0,3,0
127,140,141,Catocala grynea,187.55,179,188,191.5,188,198,220.15,199,223,0.343102698,162,-0.406710132,-0.319891716,20,9,10,24,Catocala grynea.1987.162,0.079057371,0.417543755,-1.055186331,1.297360072,E,U,N,Catocala grynea,Ephesia grynea,1980,187,220,12/31/1986,7/6/1987,1987,8/8/1987,0.47099813,-0.615307914,1.239740089,0.053680226,1.189030497,-0.390994519,33,Fall,919.6085006,641.9802515,1561.588752,143.4874087,9893.614906,775.752837,0.584148528,2,0,3,1,5,1
128,141,142,Catocala grynea,194.25,190,200.2,208,201.5,208,214.6,209.3,235,-0.531027859,162,-0.174412673,-0.202581067,18,10.2,6.5,25.7,Catocala grynea.1973.162,-0.223190061,0.426776778,-0.899329736,-0.860482829,E,U,N,Catocala grynea,Ephesia grynea,1970,194,214,12/31/1972,7/13/1973,1973,8/2/1973,-0.654742524,0.655406632,-0.580261735,-0.641138474,-0.875040199,0.047740478,20,Fall,822.9409703,351.1995388,1174.140509,136.059519,9904.041459,807.0652288,0.383288668,0,2,0,0,0,2
129,142,143,Catocala grynea,217.8,217,221,223,217,228,232,222.6,233,-1.592472107,166,-0.639007591,-0.671823664,5,4,11,10.4,Catocala grynea.1956.166,-0.118937933,-0.734785233,0.191244058,-1.553019453,E,U,N,Catocala grynea,Ephesia grynea,1950,217,232,12/31/1955,8/4/1956,1956,8/19/1956,-0.091872197,3.196835724,-0.580261735,0.053680226,-0.46222606,2.241415465,15,Fall,929.3853731,265.6153575,1195.000731,138.6215699,8592.327237,1026.167116,0.318824842,1,6,0,1,1,7
130,143,144,Catocala grynea,194.4,190,198,206.5,198,211,218,204,218,0.343102698,163,-0.174412673,-0.554513015,12,8,13,14,Catocala grynea.1987.163,-0.089433055,0.171930403,-0.771703652,0.047926747,E,U,N,Catocala grynea,Ephesia grynea,1980,194,218,12/31/1986,7/13/1987,1987,8/6/1987,1.033868457,-0.615307914,0.02640554,0.053680226,0.776216358,-0.390994519,24,Fall,980.2140153,474.892802,1455.106817,139.3466678,9616.251731,832.705966,0.467846733,3,0,1,1,4,1
131,144,145,Catocala grynea,206.5,206,207.5,209,206,207,227.5,214,228,-0.406152065,162,-0.639007591,-0.319891716,11,1.5,1,14,Catocala grynea.1975.162,-0.439427457,0.52646904,-0.108670857,0.996630893,E,U,N,Catocala grynea,Ephesia grynea,1970,206,227,12/31/1974,7/25/1975,1975,8/15/1975,-0.654742524,0.655406632,-0.580261735,-0.641138474,-0.875040199,0.047740478,21,Fall,949.8503874,375.1246852,1324.975073,130.7453712,10016.62069,965.9126662,0.556155563,0,2,0,0,0,2
132,145,146,Catocala grynea,204,203,206.5,215,205,218,230.5,218,241,-0.593465756,162,-0.406710132,-0.319891716,11,3.5,13,23,Catocala grynea.1972.162,-0.985187042,0.791456363,-0.549201933,-0.247137247,E,U,N,Catocala grynea,Ephesia grynea,1970,204,230,12/31/1971,7/22/1972,1972,8/17/1972,-0.654742524,4.467550271,-0.580261735,2.138136325,-0.875040199,4.435090452,26,Fall,852.5451739,397.1022979,1249.647472,117.3330422,10315.86226,877.4077063,0.440381104,0,8,0,4,0,12
133,146,147,Catocala grynea,192,NA,NA,206,192,211,223,205.4,223,-1.342720519,166,-0.639007591,-0.671823664,7,249,19,17.6,Catocala grynea.1960.166,-0.02011596,-0.235964424,0.799888842,-0.219066233,E,U,N,Catocala grynea,Ephesia grynea,1960,192,223,12/31/1959,7/10/1960,1960,8/10/1960,-0.654742524,-0.615307914,-0.580261735,-0.641138474,-0.875040199,-0.829729516,31,Fall,790.982864,526.1226409,1317.105505,141.0501719,9155.629362,1148.446985,0.442994056,0,0,0,0,0,0
134,147,148,Catocala habilis,235.55,227,246,247.5,246.5,253,260,249.1,260,-0.593465756,162,-0.406710132,-0.437202366,10,19,6.5,10.9,Catocala habilis.1972.162,-0.985187042,0.791456363,-0.549201933,-0.247137247,E,U,N,Catocala habilis,Catabapta habilis,1970,235,260,12/31/1971,8/22/1972,1972,9/16/1972,-0.654742524,5.738264817,-0.580261735,-0.641138474,-0.875040199,3.557620457,25,Fall,918.5337227,369.3073547,1287.841077,117.3330422,10315.86226,877.4077063,0.440381104,0,10,0,0,0,10
135,148,149,Catocala habilis,224.25,224,228,241,224.5,257.5,267.5,241.5,275,-0.531027859,162,-0.639007591,-0.554513015,6,4,33,33.5,Catocala habilis.1973.162,-0.223190061,0.426776778,-0.899329736,-0.860482829,E,U,N,Catocala habilis,Catabapta habilis,1970,224,267,12/31/1972,8/12/1973,1973,9/24/1973,-0.654742524,-0.615307914,0.02640554,-0.641138474,-0.46222606,-0.829729516,43,Fall,1012.446449,631.4481369,1643.894586,136.059519,9904.041459,807.0652288,0.383288668,0,0,1,0,1,0
136,149,150,Catocala habilis,219,NA,NA,260,219,269,270,258,270,-0.593465756,185,-0.639007591,-0.437202366,11,249,50,12,Catocala habilis.1972.185,-1.338273126,0.344140476,1.266881405,-0.358038514,E,U,N,Catocala habilis,Catabapta habilis,1970,219,270,12/31/1971,8/6/1972,1972,9/26/1972,-0.654742524,1.290763905,-0.580261735,0.053680226,-0.875040199,0.925210473,51,Fall,837.2615076,613.0989503,1450.360458,108.6557659,9810.722969,1242.268194,0.430058011,0,3,0,1,0,4
137,150,151,Catocala habilis,233.6,230,248,253,230,253,256.2,248.4,257,-1.030531035,162,-0.639007591,-0.789134314,5,18,23,8.6,Catocala habilis.1965.162,-0.571765091,0.73491263,-0.56540561,-0.146221667,E,U,N,Catocala habilis,Catabapta habilis,1960,233,256,12/31/1964,8/21/1965,1965,9/13/1965,-0.654742524,1.290763905,-0.580261735,0.748498926,-0.875040199,1.36394547,23,Fall,950.3993528,300.3105516,1250.709904,127.4931042,10252.00926,874.1523041,0.449774693,0,3,0,2,0,5
138,151,152,Catocala habilis,213.1,205,232,241,205,241,258,230.2,258,-0.031524684,166,-0.639007591,-0.789134314,7,27,36,27.8,Catocala habilis.1981.166,0.035707215,-0.087202397,-0.12108528,0.768385787,E,U,N,Catocala habilis,Catabapta habilis,1980,213,258,12/31/1980,8/1/1981,1981,9/15/1981,-0.091872197,-0.615307914,-0.580261735,-0.641138474,-0.46222606,-0.829729516,45,Fall,992.100048,700.5153641,1692.615412,142.4220558,9323.621484,963.4185448,0.534909679,1,0,0,0,1,0
139,152,153,Catocala habilis,210.4,210,214.8,234,210,246,252.4,229.6,254,-1.53003421,166,-0.639007591,-0.671823664,5,4.8,36,24.4,Catocala habilis.1957.166,0.383745154,-0.372294652,-0.484145106,0.71478586,E,U,N,Catocala habilis,Catabapta habilis,1950,210,252,12/31/1956,7/29/1957,1957,9/9/1957,1.033868457,-0.615307914,-0.580261735,-0.641138474,0.363402218,-0.829729516,42,Fall,979.4240095,644.135308,1623.559317,150.9752713,9001.676067,890.4779576,0.529920403,3,0,0,0,3,0
140,153,154,Catocala habilis,235,NA,NA,241,235,241,242.2,241,244,-2.091975282,161,-0.639007591,-0.789134314,13,249,6,3,Catocala habilis.1948.161,-0.490746851,1.239118854,-1.487848101,0.013929697,E,U,N,Catocala habilis,Catabapta habilis,1940,235,242,12/31/1947,8/22/1948,1948,8/29/1948,-0.654742524,-0.615307914,1.239740089,-0.641138474,0.363402218,-0.829729516,7,Fall,1016.134745,171.8838912,1188.018637,129.4841701,10821.39296,688.8288609,0.464682164,0,0,3,0,3,0
141,154,155,Catocala ilia,187.7,187,188,189,188,189,231.1,204,250,-0.281276271,148,-0.406710132,-0.437202366,15,1,1,46,Catocala ilia.1977.148,0.804529251,-0.223864579,-0.295055911,-0.1901857,E,U,N,Catocala ilia,"Phalaena ilia Cramer, [1776]",1970,187,231,12/31/1976,7/6/1977,1977,8/19/1977,-0.091872197,0.020049359,-0.580261735,0.748498926,-0.46222606,0.486475476,44,Summer,917.0073381,919.3785912,1836.385929,161.3162619,9169.293324,928.4669499,0.445682361,1,1,0,2,1,3
142,155,156,Catocala ilia,182.4,177,195,211,177,216,225,206.8,225,0.343102698,163,-0.639007591,-0.554513015,7,18,39,18.2,Catocala ilia.1987.163,-0.089433055,0.171930403,-0.771703652,0.047926747,E,U,N,Catocala ilia,"Phalaena ilia Cramer, [1776]",1980,182,225,12/31/1986,7/1/1987,1987,8/13/1987,-0.091872197,-0.615307914,0.633072815,0.053680226,0.363402218,-0.390994519,43,Summer,854.975418,810.2582453,1665.233663,139.3466678,9616.251731,832.705966,0.467846733,1,0,2,1,3,1
143,156,157,Catocala ilia,187.5,184,192.5,219,191,219,224,219,227,0.343102698,162,-0.406710132,-0.437202366,11,8.5,28,8,Catocala ilia.1987.162,0.079057371,0.417543755,-1.055186331,1.297360072,E,U,N,Catocala ilia,"Phalaena ilia Cramer, [1776]",1980,187,224,12/31/1986,7/6/1987,1987,8/12/1987,0.47099813,-0.615307914,1.239740089,0.053680226,1.189030497,-0.390994519,37,Summer,919.6085006,708.0320359,1627.640537,143.4874087,9893.614906,775.752837,0.584148528,2,0,3,1,5,1
144,157,158,Catocala ilia,187.5,181,194,208,181,208,224.5,208,241,-0.281276271,166,-0.639007591,-0.789134314,11,13,27,33,Catocala ilia.1977.166,0.056989364,0.172955395,1.19150671,-0.51230951,E,U,N,Catocala ilia,"Phalaena ilia Cramer, [1776]",1970,187,224,12/31/1976,7/6/1977,1977,8/12/1977,-0.091872197,1.290763905,-0.580261735,0.748498926,-0.46222606,1.36394547,37,Summer,781.2010917,674.0880567,1455.289148,142.9450758,9617.409222,1227.12503,0.415697906,1,3,0,2,1,5
145,158,159,Catocala ilia,195,NA,NA,215,195,226,228.25,218.5,229,-0.156400477,166,-0.639007591,-0.671823664,6,249,31,10.5,Catocala ilia.1979.166,0.001483224,-0.175810744,1.454394287,0.390024111,E,U,N,Catocala ilia,"Phalaena ilia Cramer, [1776]",1970,195,228,12/31/1978,7/14/1979,1979,8/16/1979,-0.654742524,3.196835724,-0.580261735,0.748498926,-0.875040199,2.680150462,33,Summer,783.0475399,611.2480115,1394.295551,141.5809832,9223.558958,1279.940497,0.499690399,0,6,0,2,0,8
146,159,160,Catocala ilia,178,166,186,212,193,212,247.6,225,262,-0.655903653,165,-0.639007591,0.032040232,13,20,19,37,Catocala ilia.1971.165,-0.281128804,0.512794282,-0.011793427,-0.463314109,E,U,N,Catocala ilia,"Phalaena ilia Cramer, [1776]",1970,178,247,12/31/1970,6/27/1971,1971,9/4/1971,-0.654742524,-0.615307914,-0.580261735,0.748498926,-0.875040199,0.047740478,69,Summer,605.4622665,1041.84929,1647.311557,134.6356439,10001.17823,985.3758404,0.420258576,0,0,0,2,0,2
